ds,unix,symbol,open,high,low,y,Volume BTC,Volume USD,is_outlier,SMA_20,EMA_20,BB_upper,BB_lower,BB_mid,RSI,daily_return,log_return,volatility_21d
2015-01-23,1421971200,BTC/USD,233.0,240.0,225.55,233.03,3539626.61,15246.43,0,240.14449999999997,242.01595403739188,310.36110426663197,169.92789573336796,240.14449999999997,39.81382359785896,0.01287553648068318,0.0001287470765462796,168.53628534733275
2015-01-24,1422057600,BTC/USD,233.03,249.99,230.03,249.99,3297573.46,13633.14,0,239.413,242.7753869862117,308.85657288285796,169.96942711714206,239.413,44.217246883223325,7.27803287130413,0.07025371641997827,167.88825615775303
2015-01-25,1422144000,BTC/USD,249.99,257.0,241.33,253.09,7019125.49,28139.7,0,238.22750000000002,243.757731082763,305.76713510803324,170.68786489196677,238.22750000000002,44.95338640330339,1.2400496019840723,0.012324239633240482,165.95506802617382
2015-01-26,1422230400,BTC/USD,253.09,309.9,253.09,269.5,15614774.92,55355.5,0,237.8625,246.20937574154746,304.59855192334766,171.12644807665237,237.8625,50.27608373166309,6.483859496621758,0.06282323365358622,166.7058603841712
2015-01-27,1422316800,BTC/USD,269.5,278.51,243.1,262.99,5501345.88,21293.57,0,237.17200000000003,247.80753043282868,302.48227890406133,171.8617210959387,237.17200000000003,60.39202098698214,-2.4155844155844153,-0.024452381707861008,166.89742881837682
2015-01-28,1422403200,BTC/USD,262.99,266.45,225.91,236.2,6774004.56,27595.15,0,235.142,246.70205134398788,297.73332766563857,172.55067233436142,235.142,71.84666117065127,-10.18669911403476,-0.10743710487792896,170.80367960417328
2015-01-29,1422489600,BTC/USD,236.2,242.18,220.0,234.75,6076004.2,26178.79,0,233.0395,245.56376073979857,292.48484419376973,173.59415580623028,233.0395,60.42101880122128,-0.6138865368331858,-0.006157785674889577,170.78268782760006
2015-01-30,1422576000,BTC/USD,234.75,244.98,227.26,232.6,4653564.37,19832.17,0,230.82949999999997,244.32911685981776,286.59751062861795,175.06148937138198,230.82949999999997,60.450160771704184,-0.9158679446219398,-0.009200878003808255,170.75916491659405
2015-01-31,1422662400,BTC/USD,232.6,234.8,215.75,217.98,4494529.82,19706.27,0,227.88850000000002,241.81967715888274,279.49770043435717,176.27929956564287,227.88850000000002,56.74615152429822,-6.285468615649181,-0.06491692462339846,171.83966423533658
2015-02-01,1422748800,BTC/USD,217.98,220.81,208.48,214.8,1336586.85,6189.01,0,225.2205,239.24637457232248,273.47164363520545,176.96935636479455,225.2205,51.35873934716194,-1.458849435728038,-0.014695952826455846,171.79248469439415
2015-02-02,1422835200,BTC/USD,214.8,241.98,214.8,237.97,1494778.57,6423.56,0,226.06899999999996,239.12481508924415,274.6036521461453,177.5343478538546,226.06899999999996,57.42135266380463,10.786778398510233,0.10243725267157505,176.09191984976502
2015-02-03,1422921600,BTC/USD,237.97,244.39,223.79,227.35,4178199.28,17756.67,0,229.33649999999997,238.00340412836377,267.3736902637124,191.29930973628757,229.33649999999997,55.53740385269892,-4.4627474051351035,-0.04565393503526522,163.21116843280745
2015-02-04,1423008000,BTC/USD,227.35,231.0,220.02,227.0,3220391.1,14313.23,0,230.246,236.95546087804343,267.06707657307106,193.42492342692896,230.246,49.38728323699422,-0.15394765779634945,-0.0015406627896168937,117.50433793465969
2015-02-05,1423094400,BTC/USD,227.0,228.94,213.64,217.0,953936.47,4314.11,0,230.766,235.05494079442025,266.4574428193408,195.07455718065913,230.766,44.08896113491946,-4.405286343612335,-0.045052663940943136,81.35689557569388
2015-02-06,1423180800,BTC/USD,216.81,225.86,214.95,222.88,1044545.84,4730.33,0,231.90500000000003,233.89542262352307,264.822007921837,198.98799207816305,231.90500000000003,46.40555280118988,2.709677419354839,0.02673615649103602,81.66461646532971
2015-02-07,1423267200,BTC/USD,223.37,231.14,221.77,228.61,1444459.22,6356.04,0,232.7645,233.39204904033042,264.29797993549187,201.23102006450816,232.7645,41.77439212065251,2.5708901651112726,0.025383984904384104,80.92960669110094
